Group,Substance,100-Year Global Warming Potential
Group I,,
CHF2CHF2,HFC‐134,1 100
CH2FCF3,HFC‐134a,1 430
CH2FCHF2,HFC‐143,353
CHF2CH2CF3,HFC‐245fa,1 030
CF3CH2CF2CH3,HFC‐365mfc,794
CF3CHFCF3,HFC‐227ea,3 220
CH2FCF2CF3,HFC‐236cb,1 340
CHF2CHFCF3,HFC‐236ea,1 370
CF3CH2CF3,HFC‐236fa,9 810
CH2FCF2CHF2,HFC‐245ca,693
CF3CHFCHFCF2CF3,HFC‐43‐10mee,1 640
CH2F2,HFC‐32,675
CHF2CF3,HFC‐125,3 500
CH3CF3,HFC‐143a,4 470
CH3F,HFC‐41,92
CH2FCH2F,HFC‐152,53
CH3CHF2,HFC‐152a,124
Group II,,
CHF3,HFC‐23,14 800
